"filename", "language", "YAML", "JavaScript", "Markdown", "JSON", "TypeScript", "JSON with Comments", "Rust", "Docker", "MS SQL", "PostCSS", "TypeScript JSX", "Properties", "HTML", "comment", "blank", "total"
"c:\Users\znnn\my_code\wfchat\apps\web\src\components\dialog\DialogProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 27, 208
"c:\Users\znnn\my_code\wfchat\apps\web\src\components\header\AppHeaderBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 10, 98
"c:\Users\znnn\my_code\wfchat\apps\web\src\components\header\AppHeaderControls.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 184, 0, 0, 0, 11, 195
"c:\Users\znnn\my_code\wfchat\apps\web\src\components\navigation\ActivityBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 7, 58
"c:\Users\znnn\my_code\wfchat\apps\web\src\components\settings\AppSettingsDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 14, 125
"c:\Users\znnn\my_code\wfchat\apps\web\src\components\ui\IconButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 4, 17
"c:\Users\znnn\my_code\wfchat\apps\web\src\components\ui\StatusDot.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\znnn\my_code\wfchat\apps\web\src\features\chat\components\ChatComposer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 17, 126
"c:\Users\znnn\my_code\wfchat\apps\web\src\features\chat\components\ChatDetailsPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 346, 0, 0, 0, 18, 364
"c:\Users\znnn\my_code\wfchat\apps\web\src\features\chat\components\ChatHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 6, 109
"c:\Users\znnn\my_code\wfchat\apps\web\src\features\chat\components\ChatMessageList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 261, 0, 0, 0, 28, 289
"c:\Users\znnn\my_code\wfchat\apps\web\src\features\chat\components\ChatSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 236, 0, 0, 0, 12, 248
"c:\Users\znnn\my_code\wfchat\apps\web\src\features\chat\data\chatFixtures.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\znnn\my_code\wfchat\apps\web\src\features\chat\hooks\useChatSession.ts", "TypeScript", 0, 0, 0, 0, 616, 0, 0, 0, 0, 0, 0, 0, 0, 2, 67, 685
"c:\Users\znnn\my_code\wfchat\apps\web\src\features\chat\services\chatApiService.ts", "TypeScript", 0, 0, 0, 0, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 293
"c:\Users\znnn\my_code\wfchat\apps\web\src\hooks\useAuthSession.ts", "TypeScript", 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 153
"c:\Users\znnn\my_code\wfchat\apps\web\src\hooks\useFont.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\znnn\my_code\wfchat\apps\web\src\hooks\useTheme.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\znnn\my_code\wfchat\apps\web\src\i18n\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 18, 83
"c:\Users\znnn\my_code\wfchat\apps\web\src\i18n\locales\en.json", "JSON", 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 132
"c:\Users\znnn\my_code\wfchat\apps\web\src\i18n\locales\th.json", "JSON", 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 132
"c:\Users\znnn\my_code\wfchat\apps\web\src\layouts\AppLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 220, 0, 0, 0, 40, 260
"c:\Users\znnn\my_code\wfchat\apps\web\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
"c:\Users\znnn\my_code\wfchat\apps\web\src\pages\AvatarPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 242, 0, 0, 0, 17, 259
"c:\Users\znnn\my_code\wfchat\apps\web\src\pages\ChatPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 8, 150
"c:\Users\znnn\my_code\wfchat\apps\web\src\services\apiClient.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\znnn\my_code\wfchat\apps\web\src\services\authService.ts", "TypeScript", 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 105
"c:\Users\znnn\my_code\wfchat\apps\web\src\services\storageService.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 36
"c:\Users\znnn\my_code\wfchat\apps\web\src\services\syncService.test.ts", "TypeScript", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 79
"c:\Users\znnn\my_code\wfchat\apps\web\src\services\syncService.ts", "TypeScript", 0, 0, 0, 0, 668, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 745
"c:\Users\znnn\my_code\wfchat\apps\web\src\stores\backgroundStore.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\znnn\my_code\wfchat\apps\web\src\stores\fontStore.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\Users\znnn\my_code\wfchat\apps\web\src\stores\syncStateStore.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"c:\Users\znnn\my_code\wfchat\apps\web\src\stores\themeStore.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 42
"c:\Users\znnn\my_code\wfchat\apps\web\src\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 197, 0, 0, 0, 0, 30, 227
"c:\Users\znnn\my_code\wfchat\apps\web\src\types\chat.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 49
"c:\Users\znnn\my_code\wfchat\apps\web\src\types\font.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\znnn\my_code\wfchat\apps\web\src\types\theme.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\znnn\my_code\wfchat\apps\web\src\utils\classNames.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\znnn\my_code\wfchat\apps\web\src\utils\date.test.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\znnn\my_code\wfchat\apps\web\src\utils\date.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\znnn\my_code\wfchat\apps\web\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\znnn\my_code\wfchat\apps\web\tsconfig.app.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\znnn\my_code\wfchat\apps\web\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\znnn\my_code\wfchat\apps\web\tsconfig.node.json", "JSON", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\znnn\my_code\wfchat\apps\web\vite.config.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\znnn\my_code\wfchat\docker-compose.yml", "YAML", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 65
"c:\Users\znnn\my_code\wfchat\docs\_sync-known-gaps.md", "Markdown", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 40
"c:\Users\znnn\my_code\wfchat\docs\app-navigation.md", "Markdown", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 45
"c:\Users\znnn\my_code\wfchat\docs\architecture.md", "Markdown", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 54
"c:\Users\znnn\my_code\wfchat\docs\backend-architecture.md", "Markdown", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 137
"c:\Users\znnn\my_code\wfchat\docs\characters.md", "Markdown", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 54
"c:\Users\znnn\my_code\wfchat\docs\chat-layout-scroll.md", "Markdown", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 35
"c:\Users\znnn\my_code\wfchat\docs\chat-sessions.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\znnn\my_code\wfchat\docs\components.md", "Markdown", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 49
"c:\Users\znnn\my_code\wfchat\docs\conventions.md", "Markdown", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 45
"c:\Users\znnn\my_code\wfchat\docs\database-schema.md", "Markdown", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 136
"c:\Users\znnn\my_code\wfchat\docs\docker.md", "Markdown", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 73
"c:\Users\znnn\my_code\wfchat\docs\folder-structure.md", "Markdown", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 66
"c:\Users\znnn\my_code\wfchat\docs\frontend-architecture.md", "Markdown", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 47
"c:\Users\znnn\my_code\wfchat\docs\i18n.md", "Markdown", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 37
"c:\Users\znnn\my_code\wfchat\docs\memory.md", "Markdown", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21
"c:\Users\znnn\my_code\wfchat\docs\state-management.md", "Markdown", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 44
"c:\Users\znnn\my_code\wfchat\docs\sync-system.md", "Markdown", 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 302
"c:\Users\znnn\my_code\wfchat\docs\theme.md", "Markdown", 0, 0, 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 366
"c:\Users\znnn\my_code\wfchat\package-lock.json", "JSON", 0, 0, 0, 3004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3005
"c:\Users\znnn\my_code\wfchat\package.json", "JSON", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\znnn\my_code\wfchat\scripts\init-env.mjs", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 79
"Total", "-", 60, 61, 1249, 7534, 2131, 11, 3197, 33, 96, 197, 3292, 14, 13, 7, 1601, 19496
